domain,code,context
yahoo.com,554,5.4.4 Domain Lookup Failed
yahoo.com,554,5.4.7 [internal] exceeded max time without delivery
yahoo.com,421,4.7.1 [TS03] All messages from 100.100.100.100 will be permanently deferred; Retrying will NOT succeed. See http://postmaster.yahoo.com/421-ts03.html
yahoo.com,421,4.7.0 [TSS04] Messages from 0.0.0.0 temporarily deferred due to unexpected volume or user complaints - 4.16.55.1; see https://postmaster.yahooinc.com/error-codes
yahoo.com,421,421 Max message per connection reached closing transmission channel
yahoo.com,421,Message from 100.100.100.100 temporarily deferred - 4.16.50. Please refer to http://help.yahoo.com/help/us/mail/defer/defer-06.html
yahoo.com,421,"Service not available, closing transmission channel"
yahoo.com,450,User is receiving mail too quickly
yahoo.com,451,4.3.2 Internal server error
yahoo.com,451,example.yahoo.com Resources temporarily unavailable. Please try again later [#4.16.1].
yahoo.com,451,Message temporarily deferred - [170]
yahoo.com,451,mta349.mail.mud.yahoo.com Resources temporarily unavailable. Please try again later [#4.16.1].
yahoo.com,452,temporary domain failure <example@example.com>
yahoo.com,501,Syntax error in parameters or arguments
yahoo.com,550,relaying denied for <example@example.com>
yahoo.com,552,"Requested mail action aborted, mailbox not found"
yahoo.com,553,"host xx.yahoodns.net [x.xx.xx.xx] SMTP error from remote mail server after MAIL FROM:<user@example.com> SIZE=2022: 553 5.7.1 [BL21] Connections will not be accepted from x.xx.xx.xx, because the ip is in Spamhaus's list; see http://postmaster.yahoo.com/550-bl23.html"
yahoo.com,553,host xx.yahoodns.net [x.xx.xx.xx] SMTP error from remote mail server after MAIL FROM:<user@example.com> SIZE=2022: 553 Mail from x.xx.xx.xx not allowed - 5.7.1 [BL23] Connections not accepted from IP addresses on Spamhaus XBL; see http://postmaster.yahoo.com/errors/550-bl23.html [550]
yahoo.com,554,5.7.9 Message not accepted for policy reasons. See https://postmaster.yahooinc.com/error-codes
yahoo.com,554,delivery error: dd example@example.com is no longer valid. [-20] - example.yahoo.com
yahoo.com,554,delivery error: dd Requested mail action aborted - example.yahoo.com
yahoo.com,554,delivery error: dd Sorry your message to email@mydomain.com cannot be delivered
yahoo.com,554,"delivery error: dd Sorry, your message to example@example.com cannot be delivered. This mailbox is disabled (554.30). - example.yahoo.com"
yahoo.com,554,delivery error: dd This user doesn't have a example.com account (example@example.com) [-9] - example.yahoo.com
yahoo.com,554,delivery error: dd This user doesn't have a yahoo.com account email@mydomain.com
yahoo.com,554,Message not allowed - [299]
yahoo.com,554,Message not allowed - [PH01] Email not accepted for policy reasons. Please visit https://postmaster.yahooinc.com/error-codes
yahoo.com,554,Message not allowed - Headers are not RFC compliant[291]
yahoo.com,421,Message from 100.100.100.100 temporarily deferred - 4.16.50. Please refer to http://help.yahoo.com/help/us/mail/defer/defer-06.html
